id,name,age,number,position,photo
6820,A. Redmayne,33,,Goalkeeper,https://media.api-sports.io/football/players/6820.png
2741,M. Ryan,30,,Goalkeeper,https://media.api-sports.io/football/players/2741.png
1925,D. Vukovic,37,,Goalkeeper,https://media.api-sports.io/football/players/1925.png
6908,N. Atkinson,23,,Defender,https://media.api-sports.io/football/players/6908.png
2742,M. Degenek,28,,Defender,https://media.api-sports.io/football/players/2742.png
6849,T. Deng,25,,Defender,https://media.api-sports.io/football/players/6849.png
225,A. Behich,32,,Defender,https://media.api-sports.io/football/players/225.png
14386,F. Karačić,26,,Defender,https://media.api-sports.io/football/players/14386.png
6822,Joel Bruce King,22,,Defender,https://media.api-sports.io/football/players/6822.png
7038,K. Rowles,24,,Defender,https://media.api-sports.io/football/players/7038.png
20079,H. Souttar,24,,Defender,https://media.api-sports.io/football/players/20079.png
19266,B. Wright,30,,Defender,https://media.api-sports.io/football/players/19266.png
6984,K. Baccus,24,,Midfielder,https://media.api-sports.io/football/players/6984.png
6832,C. Devlin,24,,Midfielder,https://media.api-sports.io/football/players/6832.png
38123,A. Hrustić,26,,Midfielder,https://media.api-sports.io/football/players/38123.png
2749,J. Irvine,29,,Midfielder,https://media.api-sports.io/football/players/2749.png
6913,R. McGree,24,,Midfielder,https://media.api-sports.io/football/players/6913.png
19050,A. Mooy,32,,Midfielder,https://media.api-sports.io/football/players/19050.png
44843,M. Boyle,29,,Attacker,https://media.api-sports.io/football/players/44843.png
2755,A. Mabil,27,,Attacker,https://media.api-sports.io/football/players/2755.png
19774,J. Cummings,27,,Attacker,https://media.api-sports.io/football/players/19774.png
6993,M. Duke,31,,Attacker,https://media.api-sports.io/football/players/6993.png
6888,C. Goodwin,31,,Attacker,https://media.api-sports.io/football/players/6888.png
2751,M. Leckie,31,,Attacker,https://media.api-sports.io/football/players/2751.png
2756,J. Maclaren,29,,Attacker,https://media.api-sports.io/football/players/2756.png
349987,G. Kuol,18,,Attacker,https://media.api-sports.io/football/players/349987.png
