id,name,age,number,position,photo
18860,M. Travers,23,1,Goalkeeper,https://media.api-sports.io/football/players/18860.png
912,Neto,33,13,Goalkeeper,https://media.api-sports.io/football/players/912.png
151756,W. Dennis,22,40,Goalkeeper,https://media.api-sports.io/football/players/151756.png
382166,C. Plain,21,45,Goalkeeper,https://media.api-sports.io/football/players/382166.png
18815,R. Fredericks,30,2,Defender,https://media.api-sports.io/football/players/18815.png
18940,J. Stephens,28,3,Defender,https://media.api-sports.io/football/players/18940.png
19263,L. Kelly,24,5,Defender,https://media.api-sports.io/football/players/19263.png
18866,C. Mepham,25,6,Defender,https://media.api-sports.io/football/players/18866.png
18869,Adam James Smith,31,15,Defender,https://media.api-sports.io/football/players/18869.png
19769,J. Stacey,26,17,Defender,https://media.api-sports.io/football/players/19769.png
20093,J. Hill,20,23,Defender,https://media.api-sports.io/football/players/20093.png
6610,M. Senesi,25,25,Defender,https://media.api-sports.io/football/players/6610.png
19824,J. Zemura,23,33,Defender,https://media.api-sports.io/football/players/19824.png
382929,C. Francis,20,,Defender,https://media.api-sports.io/football/players/382929.png
290962,B. Greenwood,19,,Defender,https://media.api-sports.io/football/players/290962.png
18872,L. Cook,25,4,Midfielder,https://media.api-sports.io/football/players/18872.png
18870,D. Brooks,25,7,Midfielder,https://media.api-sports.io/football/players/18870.png
2490,J. Lerma,28,8,Midfielder,https://media.api-sports.io/football/players/2490.png
1125,R. Christie,27,10,Midfielder,https://media.api-sports.io/football/players/1125.png
19356,E. Marcondes,27,11,Midfielder,https://media.api-sports.io/football/players/19356.png
19482,J. Rothwell,27,14,Midfielder,https://media.api-sports.io/football/players/19482.png
19245,M. Tavernier,23,16,Midfielder,https://media.api-sports.io/football/players/19245.png
18878,J. Stanislas,33,19,Midfielder,https://media.api-sports.io/football/players/18878.png
19964,S. Dembélé,26,20,Midfielder,https://media.api-sports.io/football/players/19964.png
19454,B. Pearson,27,22,Midfielder,https://media.api-sports.io/football/players/19454.png
2734,P. Billing,26,29,Midfielder,https://media.api-sports.io/football/players/2734.png
382930,F. Okoh,18,,Midfielder,https://media.api-sports.io/football/players/382930.png
334725,D. Sadi,19,,Midfielder,https://media.api-sports.io/football/players/334725.png
382167,J. Wadham,19,,Midfielder,https://media.api-sports.io/football/players/382167.png
18883,D. Solanke,25,9,Attacker,https://media.api-sports.io/football/players/18883.png
19866,J. Lowe,28,18,Attacker,https://media.api-sports.io/football/players/19866.png
19804,K. Moore,30,21,Attacker,https://media.api-sports.io/football/players/19804.png
196855,Jaidon Anthony,23,32,Attacker,https://media.api-sports.io/football/players/196855.png
