id,name,age,number,position,photo
280,Alisson,30,,Goalkeeper,https://media.api-sports.io/football/players/280.png
2410,Weverton,35,,Goalkeeper,https://media.api-sports.io/football/players/2410.png
617,Ederson,29,,Goalkeeper,https://media.api-sports.io/football/players/617.png
256,Dani Alves,39,,Defender,https://media.api-sports.io/football/players/256.png
257,Marquinhos,28,,Defender,https://media.api-sports.io/football/players/257.png
618,Danilo,31,,Defender,https://media.api-sports.io/football/players/618.png
259,Thiago Silva,38,,Defender,https://media.api-sports.io/football/players/259.png
860,Alex Sandro,31,,Defender,https://media.api-sports.io/football/players/860.png
372,Éder Militão,24,,Defender,https://media.api-sports.io/football/players/372.png
378,Alex Telles,30,,Defender,https://media.api-sports.io/football/players/378.png
30497,Bremer,25,,Defender,https://media.api-sports.io/football/players/30497.png
747,Casemiro,30,,Midfielder,https://media.api-sports.io/football/players/747.png
10168,Éverton Ribeiro,33,,Midfielder,https://media.api-sports.io/football/players/10168.png
10135,Bruno Guimarães,25,,Midfielder,https://media.api-sports.io/football/players/10135.png
905,Fred,29,,Midfielder,https://media.api-sports.io/football/players/905.png
299,Fabinho,29,,Midfielder,https://media.api-sports.io/football/players/299.png
1646,Lucas Paquetá,25,,Midfielder,https://media.api-sports.io/football/players/1646.png
10321,Pedro,25,,Attacker,https://media.api-sports.io/football/players/10321.png
276,Neymar,30,,Attacker,https://media.api-sports.io/football/players/276.png
2413,Richarlison,25,,Attacker,https://media.api-sports.io/football/players/2413.png
643,Gabriel Jesus,25,,Attacker,https://media.api-sports.io/football/players/643.png
1496,Raphinha,26,,Attacker,https://media.api-sports.io/football/players/1496.png
9971,Antony,22,,Attacker,https://media.api-sports.io/football/players/9971.png
127769,Gabriel Martinelli,21,,Attacker,https://media.api-sports.io/football/players/127769.png
762,Vinícius Júnior,22,,Attacker,https://media.api-sports.io/football/players/762.png
10009,Rodrygo,21,,Attacker,https://media.api-sports.io/football/players/10009.png
