id,name,age,number,position,photo
2416,José Aurelio Carvallo Alonso,36,21,Goalkeeper,https://media.api-sports.io/football/players/2416.png
35796,Alejandro Cristoph Duarte Preuss,28,,Goalkeeper,https://media.api-sports.io/football/players/35796.png
2417,P. Gallese,32,1,Goalkeeper,https://media.api-sports.io/football/players/2417.png
2418,Luis Alfonso Abram Ugarelli,26,2,Defender,https://media.api-sports.io/football/players/2418.png
2419,Luis Jan Piers Advíncula Castrillón,32,17,Defender,https://media.api-sports.io/football/players/2419.png
2420,Miguel Gianpierre Araujo Blanco,28,15,Defender,https://media.api-sports.io/football/players/2420.png
2421,Alexander Martín Marquinho Callens Asín,30,22,Defender,https://media.api-sports.io/football/players/2421.png
2422,Aldo Sebastián Corzo Chávez,33,3,Defender,https://media.api-sports.io/football/players/2422.png
2431,Marcos Johan López Lanfranco,23,4,Defender,https://media.api-sports.io/football/players/2431.png
10341,Nilson Evair Loyola Morales,28,,Defender,https://media.api-sports.io/football/players/10341.png
2423,Anderson Santamaría Bardales,30,,Defender,https://media.api-sports.io/football/players/2423.png
48379,Carlos Augusto Zambrano Ochandarte,33,5,Defender,https://media.api-sports.io/football/players/48379.png
35488,P. Aquino,27,23,Midfielder,https://media.api-sports.io/football/players/35488.png
2426,André Martín Carrillo Díaz,31,18,Midfielder,https://media.api-sports.io/football/players/2426.png
2427,W. Cartagena,28,14,Midfielder,https://media.api-sports.io/football/players/2427.png
2429,E. Flores,28,20,Midfielder,https://media.api-sports.io/football/players/2429.png
41448,S. Peña,27,8,Midfielder,https://media.api-sports.io/football/players/41448.png
307513,Piero Aldair  Quispe Córdova,21,,Midfielder,https://media.api-sports.io/football/players/307513.png
107197,Brayan Roberto Reyna Casaverde,24,,Midfielder,https://media.api-sports.io/football/players/107197.png
2433,R. Tapia,27,13,Midfielder,https://media.api-sports.io/football/players/2433.png
2428,Christian Alberto Cueva Bravo,31,10,Attacker,https://media.api-sports.io/football/players/2428.png
2430,Christofer  Gonzáles Crespo,30,16,Attacker,https://media.api-sports.io/football/players/2430.png
30790,G. Lapadula,32,9,Attacker,https://media.api-sports.io/football/players/30790.png
35768,Santiago Gabriel Ormeño Zayas,28,11,Attacker,https://media.api-sports.io/football/players/35768.png
2432,Y. Reyna,29,,Attacker,https://media.api-sports.io/football/players/2432.png
51119,R. Ruidíaz,32,,Attacker,https://media.api-sports.io/football/players/51119.png
196678,Alex Eduardo Valera Sandoval,26,7,Attacker,https://media.api-sports.io/football/players/196678.png
