id,name,age,number,position,photo
16152,Frederik August Albrecht Schram,27,,Goalkeeper,https://media.api-sports.io/football/players/16152.png
61481,Sindri Kristinn Ólafsson,25,,Goalkeeper,https://media.api-sports.io/football/players/61481.png
61742,H. Valdimarsson,21,,Goalkeeper,https://media.api-sports.io/football/players/61742.png
28696,Hörður Ingi Gunnarsson,24,,Defender,https://media.api-sports.io/football/players/28696.png
28730,Viktor Örn Margeirsson,28,,Defender,https://media.api-sports.io/football/players/28730.png
28722,Damir Muminović,32,,Defender,https://media.api-sports.io/football/players/28722.png
61489,Rúnar Þór Sigurgeirsson,23,,Defender,https://media.api-sports.io/football/players/61489.png
28806,Logi Tómasson,22,,Defender,https://media.api-sports.io/football/players/28806.png
61643,Róbert Orri Þorkelsson,20,,Defender,https://media.api-sports.io/football/players/61643.png
28792,Viktor Örlygur Andrason,22,,Midfielder,https://media.api-sports.io/football/players/28792.png
28700,B. Bjarkason,22,,Midfielder,https://media.api-sports.io/football/players/28700.png
28725,Viktor Karl Einarsson,25,,Midfielder,https://media.api-sports.io/football/players/28725.png
28726,Höskuldur Gunnlaugsson,28,,Midfielder,https://media.api-sports.io/football/players/28726.png
28769,Daníel Hafsteinsson,23,,Midfielder,https://media.api-sports.io/football/players/28769.png
28650,Valdimar Þór Ingimundarson,23,,Midfielder,https://media.api-sports.io/football/players/28650.png
28760,Jónatan Ingi Jónsson,23,,Midfielder,https://media.api-sports.io/football/players/28760.png
28802,Júlíus Magnússon,24,,Midfielder,https://media.api-sports.io/football/players/28802.png
2792,Aron Einar Malmquist Gunnarsson,33,,Midfielder,https://media.api-sports.io/football/players/2792.png
2793,V. Pálsson,31,,Midfielder,https://media.api-sports.io/football/players/2793.png
147833,Ísak Snær Þorvaldsson,21,,Midfielder,https://media.api-sports.io/football/players/147833.png
39195,Dag­ur Dan Þór­halls­son,22,,Midfielder,https://media.api-sports.io/football/players/39195.png
215903,Danijel Dejan Djuric,19,,Attacker,https://media.api-sports.io/football/players/215903.png
47733,Óttar Magnús Karlsson,25,,Attacker,https://media.api-sports.io/football/players/47733.png
61641,Jason Daði Svanþórsson,23,,Attacker,https://media.api-sports.io/football/players/61641.png
