id,name,age,number,position,photo
13988,E. Alvarado,33,,Goalkeeper,https://media.api-sports.io/football/players/13988.png
731,K. Navas,36,1,Goalkeeper,https://media.api-sports.io/football/players/731.png
135148,P. Sequeira,23,,Goalkeeper,https://media.api-sports.io/football/players/135148.png
2830,F. Calvo,30,15,Defender,https://media.api-sports.io/football/players/2830.png
47328,Ó. Duarte,33,6,Defender,https://media.api-sports.io/football/players/47328.png
2832,K. Fuller,28,4,Defender,https://media.api-sports.io/football/players/2832.png
14106,Douglas Andrey López Araya,24,,Defender,https://media.api-sports.io/football/players/14106.png
13939,C. Martínez,23,22,Defender,https://media.api-sports.io/football/players/13939.png
2834,R. Matarrita,28,,Defender,https://media.api-sports.io/football/players/2834.png
19895,B. Oviedo,32,8,Defender,https://media.api-sports.io/football/players/19895.png
2836,J. Vargas,27,3,Defender,https://media.api-sports.io/football/players/2836.png
2837,K. Waston,34,19,Defender,https://media.api-sports.io/football/players/2837.png
14206,B. Aguilera,19,21,Midfielder,https://media.api-sports.io/football/players/14206.png
2840,C. Borges,34,5,Midfielder,https://media.api-sports.io/football/players/2840.png
13969,D. Chacón,21,20,Midfielder,https://media.api-sports.io/football/players/13969.png
13949,Y. Salas,26,,Midfielder,https://media.api-sports.io/football/players/13949.png
13951,Y. Tejeda,30,17,Midfielder,https://media.api-sports.io/football/players/13951.png
13952,G. Torres,25,13,Midfielder,https://media.api-sports.io/football/players/13952.png
13891,J. Venegas,34,11,Midfielder,https://media.api-sports.io/football/players/13891.png
196254,Á. Zamora,20,,Midfielder,https://media.api-sports.io/football/players/196254.png
325293,J. Bennette,18,9,Attacker,https://media.api-sports.io/football/players/325293.png
2845,J. Campbell,30,12,Attacker,https://media.api-sports.io/football/players/2845.png
13955,A. Contreras,22,7,Attacker,https://media.api-sports.io/football/players/13955.png
375012,A. Hernández,21,,Attacker,https://media.api-sports.io/football/players/375012.png
2849,B. Ruiz,37,10,Attacker,https://media.api-sports.io/football/players/2849.png
14174,R. Wilson,20,,Attacker,https://media.api-sports.io/football/players/14174.png
