id,name,age,number,position,photo
14382,I. Grbić,26,,Goalkeeper,https://media.api-sports.io/football/players/14382.png
14297,I. Ivušić,27,,Goalkeeper,https://media.api-sports.io/football/players/14297.png
1305,D. Livaković,27,,Goalkeeper,https://media.api-sports.io/football/players/1305.png
1738,B. Barišić,30,,Defender,https://media.api-sports.io/football/players/1738.png
30827,M. Erlić,24,,Defender,https://media.api-sports.io/football/players/30827.png
129033,Joško Gvardiol,20,,Defender,https://media.api-sports.io/football/players/129033.png
14330,J. Juranović,27,,Defender,https://media.api-sports.io/football/players/14330.png
287,D. Lovren,33,,Defender,https://media.api-sports.io/football/players/287.png
26303,B. Sosa,24,,Defender,https://media.api-sports.io/football/players/26303.png
125171,J. Stanišić,22,,Defender,https://media.api-sports.io/football/players/125171.png
14701,J. Šutalo,22,,Defender,https://media.api-sports.io/football/players/14701.png
1986,D. Vida,33,,Defender,https://media.api-sports.io/football/players/1986.png
201,M. Brozović,30,,Midfielder,https://media.api-sports.io/football/players/201.png
14395,K. Jakić,25,,Midfielder,https://media.api-sports.io/football/players/14395.png
2291,M. Kovačić,28,,Midfielder,https://media.api-sports.io/football/players/2291.png
1321,L. Majer,24,,Midfielder,https://media.api-sports.io/football/players/1321.png
754,L. Modrić,37,,Midfielder,https://media.api-sports.io/football/players/754.png
2763,M. Pašalić,27,,Midfielder,https://media.api-sports.io/football/players/2763.png
207,I. Perišić,33,,Midfielder,https://media.api-sports.io/football/players/207.png
7332,L. Sučić,20,,Midfielder,https://media.api-sports.io/football/players/7332.png
842,N. Vlašić,25,,Midfielder,https://media.api-sports.io/football/players/842.png
46746,A. Budimir,31,,Attacker,https://media.api-sports.io/football/players/46746.png
726,A. Kramarić,31,,Attacker,https://media.api-sports.io/football/players/726.png
611,M. Livaja,29,,Attacker,https://media.api-sports.io/football/players/611.png
1330,M. Oršić,30,,Attacker,https://media.api-sports.io/football/players/1330.png
1331,B. Petković,28,,Attacker,https://media.api-sports.io/football/players/1331.png
