id,name,age,number,position,photo
15843,O. Christensen,23,,Goalkeeper,https://media.api-sports.io/football/players/15843.png
1798,F. Rønnow,30,,Goalkeeper,https://media.api-sports.io/football/players/1798.png
2728,K. Schmeichel,36,,Goalkeeper,https://media.api-sports.io/football/players/2728.png
2729,J. Andersen,26,,Defender,https://media.api-sports.io/football/players/2729.png
2282,A. Christensen,26,,Defender,https://media.api-sports.io/football/players/2282.png
15623,A. Bah,25,,Defender,https://media.api-sports.io/football/players/15623.png
1930,J. Mæhle,25,,Defender,https://media.api-sports.io/football/players/1930.png
15912,V. Nelsson,24,,Defender,https://media.api-sports.io/football/players/15912.png
533,R. Kristensen,25,,Defender,https://media.api-sports.io/football/players/533.png
2733,J. Stryger Larsen,31,,Defender,https://media.api-sports.io/football/players/2733.png
2045,S. Kjær,33,,Defender,https://media.api-sports.io/football/players/2045.png
174,C. Eriksen,30,,Midfielder,https://media.api-sports.io/football/players/174.png
15,T. Delaney,31,,Midfielder,https://media.api-sports.io/football/players/15.png
15884,J. Lindstrøm,22,,Midfielder,https://media.api-sports.io/football/players/15884.png
47438,M. Jensen,26,,Midfielder,https://media.api-sports.io/football/players/47438.png
2735,P. Højbjerg,27,,Midfielder,https://media.api-sports.io/football/players/2735.png
15908,M. Damsgaard,22,,Midfielder,https://media.api-sports.io/football/players/15908.png
30407,C. Nørgaard,28,,Midfielder,https://media.api-sports.io/football/players/30407.png
932,D. Wass,33,,Midfielder,https://media.api-sports.io/football/players/932.png
2737,M. Braithwaite,31,,Attacker,https://media.api-sports.io/football/players/2737.png
1274,A. Cornelius,29,,Attacker,https://media.api-sports.io/football/players/1274.png
550,K. Dolberg,25,,Attacker,https://media.api-sports.io/football/players/550.png
1298,R. Skov,26,,Attacker,https://media.api-sports.io/football/players/1298.png
1302,J. Wind,23,,Attacker,https://media.api-sports.io/football/players/1302.png
1167,Y. Poulsen,28,,Attacker,https://media.api-sports.io/football/players/1167.png
15916,A. Skov Olsen,23,,Attacker,https://media.api-sports.io/football/players/15916.png
