id,name,age,number,position,photo
57723,José Carlos Guerra,28,,Goalkeeper,https://media.api-sports.io/football/players/57723.png
2968,Orlando Mosquera,28,,Goalkeeper,https://media.api-sports.io/football/players/2968.png
57883,Eduardo Antonio Anderson Gómez,21,,Defender,https://media.api-sports.io/football/players/57883.png
57805,Iván Alejandro Anderson Hernández,25,,Defender,https://media.api-sports.io/football/players/57805.png
7197,Andrés Alberto Andrade Cedeño,24,,Defender,https://media.api-sports.io/football/players/7197.png
2969,Harold Oshkaly Cummings Segura,30,,Defender,https://media.api-sports.io/football/players/2969.png
2971,Fidel Escobar Mendieta,27,,Defender,https://media.api-sports.io/football/players/2971.png
2973,Michael Amir Murillo Bermudez,26,,Defender,https://media.api-sports.io/football/players/2973.png
39612,José Manuel Murillo Morán,27,,Defender,https://media.api-sports.io/football/players/39612.png
95032,Samir José Ramírez Headley,25,,Defender,https://media.api-sports.io/football/players/95032.png
57667,Jiovany Javier Ramos Díaz,25,,Defender,https://media.api-sports.io/football/players/57667.png
57807,A. Carrasquilla,24,,Midfielder,https://media.api-sports.io/football/players/57807.png
57739,José Ángel Córdoba Chambers,21,,Midfielder,https://media.api-sports.io/football/players/57739.png
2977,A. Godoy,32,,Midfielder,https://media.api-sports.io/football/players/2977.png
50911,Cristian Jesús Martínez,25,,Midfielder,https://media.api-sports.io/football/players/50911.png
199464,Ricardo Antonio Phillips Hinds,21,,Midfielder,https://media.api-sports.io/football/players/199464.png
2978,Alberto Abdiel Quintero Medina,35,,Midfielder,https://media.api-sports.io/football/players/2978.png
2979,J. Rodríguez,24,,Midfielder,https://media.api-sports.io/football/players/2979.png
57904,Jovani Francisco Welch López,23,,Midfielder,https://media.api-sports.io/football/players/57904.png
57875,César Augusto Yanis Velasco,26,,Midfielder,https://media.api-sports.io/football/players/57875.png
46855,Y. Bárcenas,29,,Attacker,https://media.api-sports.io/football/players/46855.png
96615,Ismael Díaz De León,25,,Attacker,https://media.api-sports.io/football/players/96615.png
2983,José Fajardo Nelson,29,,Attacker,https://media.api-sports.io/football/players/2983.png
79827,Freddy Elías Góndola Smith,27,,Attacker,https://media.api-sports.io/football/players/79827.png
41225,Alfredo Horacio Stephens Francis,28,,Attacker,https://media.api-sports.io/football/players/41225.png
