id,name,age,number,position,photo
2932,J. Pickford,28,,Goalkeeper,https://media.api-sports.io/football/players/2932.png
18911,N. Pope,30,,Goalkeeper,https://media.api-sports.io/football/players/18911.png
20355,A. Ramsdale,24,,Goalkeeper,https://media.api-sports.io/football/players/20355.png
283,T. Alexander-Arnold,24,,Defender,https://media.api-sports.io/football/players/283.png
18741,C. Coady,29,,Defender,https://media.api-sports.io/football/players/18741.png
175,E. Dier,28,,Defender,https://media.api-sports.io/football/players/175.png
2935,H. Maguire,29,,Defender,https://media.api-sports.io/football/players/2935.png
891,L. Shaw,27,,Defender,https://media.api-sports.io/football/players/891.png
626,J. Stones,28,,Defender,https://media.api-sports.io/football/players/626.png
169,K. Trippier,32,,Defender,https://media.api-sports.io/football/players/169.png
627,K. Walker,32,,Defender,https://media.api-sports.io/football/players/627.png
19959,B. White,25,,Defender,https://media.api-sports.io/football/players/19959.png
129718,J. Bellingham,19,,Midfielder,https://media.api-sports.io/football/players/129718.png
631,P. Foden,22,,Midfielder,https://media.api-sports.io/football/players/631.png
67972,C. Gallagher,22,,Midfielder,https://media.api-sports.io/football/players/67972.png
19187,J. Grealish,27,,Midfielder,https://media.api-sports.io/football/players/19187.png
292,J. Henderson,32,,Midfielder,https://media.api-sports.io/football/players/292.png
18784,J. Maddison,26,,Midfielder,https://media.api-sports.io/football/players/18784.png
19220,M. Mount,23,,Midfielder,https://media.api-sports.io/football/players/19220.png
19130,K. Phillips,27,,Midfielder,https://media.api-sports.io/football/players/19130.png
2937,D. Rice,23,,Midfielder,https://media.api-sports.io/football/players/2937.png
1460,B. Saka,21,,Midfielder,https://media.api-sports.io/football/players/1460.png
184,H. Kane,29,,Attacker,https://media.api-sports.io/football/players/184.png
909,M. Rashford,25,,Attacker,https://media.api-sports.io/football/players/909.png
645,R. Sterling,28,,Attacker,https://media.api-sports.io/football/players/645.png
2939,C. Wilson,30,,Attacker,https://media.api-sports.io/football/players/2939.png
