id,name,age,number,position,photo
253,A. Aréola,29,,Goalkeeper,https://media.api-sports.io/football/players/253.png
159,H. Lloris,36,,Goalkeeper,https://media.api-sports.io/football/players/159.png
1897,S. Mandanda,37,,Goalkeeper,https://media.api-sports.io/football/players/1897.png
21998,A. Disasi,24,,Defender,https://media.api-sports.io/football/players/21998.png
33,L. Hernández,26,,Defender,https://media.api-sports.io/football/players/33.png
47300,T. Hernández,25,,Defender,https://media.api-sports.io/football/players/47300.png
1145,I. Konaté,23,,Defender,https://media.api-sports.io/football/players/1145.png
1257,J. Koundé,24,,Defender,https://media.api-sports.io/football/players/1257.png
2725,B. Pavard,26,,Defender,https://media.api-sports.io/football/players/2725.png
22090,William Alain André Gabriel Saliba,21,,Defender,https://media.api-sports.io/football/players/22090.png
1149,D. Upamecano,24,,Defender,https://media.api-sports.io/football/players/1149.png
742,R. Varane,29,,Defender,https://media.api-sports.io/football/players/742.png
2207,E. Camavinga,20,,Midfielder,https://media.api-sports.io/football/players/2207.png
22254,Y. Fofana,23,,Midfielder,https://media.api-sports.io/football/players/22254.png
1454,M. Guendouzi,23,,Midfielder,https://media.api-sports.io/football/players/1454.png
272,A. Rabiot,27,,Midfielder,https://media.api-sports.io/football/players/272.png
1271,A. Tchouaméni,22,,Midfielder,https://media.api-sports.io/football/players/1271.png
30409,J. Veretout,29,,Midfielder,https://media.api-sports.io/football/players/30409.png
508,K. Coman,26,,Attacker,https://media.api-sports.io/football/players/508.png
153,O. Dembélé,25,,Attacker,https://media.api-sports.io/football/players/153.png
2295,O. Giroud,36,,Attacker,https://media.api-sports.io/football/players/2295.png
56,A. Griezmann,31,,Attacker,https://media.api-sports.io/football/players/56.png
21104,R. Kolo Muani,24,,Attacker,https://media.api-sports.io/football/players/21104.png
278,K. Mbappé,24,,Attacker,https://media.api-sports.io/football/players/278.png
21509,M. Thuram,25,,Attacker,https://media.api-sports.io/football/players/21509.png
