id,name,age,number,position,photo
497,M. Neuer,36,,Goalkeeper,https://media.api-sports.io/football/players/497.png
127,M. ter Stegen,30,,Goalkeeper,https://media.api-sports.io/football/players/127.png
1800,K. Trapp,32,,Goalkeeper,https://media.api-sports.io/football/players/1800.png
25061,Armel Bella-Kotchap,21,,Defender,https://media.api-sports.io/football/players/25061.png
2915,M. Ginter,28,,Defender,https://media.api-sports.io/football/players/2915.png
26236,C. Günter,29,,Defender,https://media.api-sports.io/football/players/26236.png
261,T. Kehrer,26,,Defender,https://media.api-sports.io/football/players/261.png
1144,L. Klostermann,26,,Defender,https://media.api-sports.io/football/players/1144.png
25158,D. Raum,24,,Defender,https://media.api-sports.io/football/players/25158.png
2285,A. Rüdiger,29,,Defender,https://media.api-sports.io/football/players/2285.png
26243,N. Schlotterbeck,23,,Defender,https://media.api-sports.io/football/players/26243.png
506,N. Süle,27,,Defender,https://media.api-sports.io/football/players/506.png
984,J. Brandt,26,,Midfielder,https://media.api-sports.io/football/players/984.png
511,L. Goretzka,27,,Midfielder,https://media.api-sports.io/football/players/511.png
16,M. Götze,30,,Midfielder,https://media.api-sports.io/football/players/16.png
633,İ. Gündoğan,32,,Midfielder,https://media.api-sports.io/football/players/633.png
978,K. Havertz,23,,Midfielder,https://media.api-sports.io/football/players/978.png
25635,J. Hofmann,30,,Midfielder,https://media.api-sports.io/football/players/25635.png
502,J. Kimmich,27,,Midfielder,https://media.api-sports.io/football/players/502.png
7334,K. Adeyemi,20,,Attacker,https://media.api-sports.io/football/players/7334.png
25391,N. Füllkrug,29,,Attacker,https://media.api-sports.io/football/players/25391.png
510,S. Gnabry,27,,Attacker,https://media.api-sports.io/football/players/510.png
161919,Y. Moukoko,18,,Attacker,https://media.api-sports.io/football/players/161919.png
522,T. Müller,33,,Attacker,https://media.api-sports.io/football/players/522.png
181812,J. Musiala,19,,Attacker,https://media.api-sports.io/football/players/181812.png
644,L. Sané,26,,Attacker,https://media.api-sports.io/football/players/644.png
