id,name,age,number,position,photo
387930,K. Bankole,,,Goalkeeper,https://media.api-sports.io/football/players/387930.png
399817,N. Nwosu,,,Goalkeeper,https://media.api-sports.io/football/players/399817.png
399821,D. Bameyi,,,Defender,https://media.api-sports.io/football/players/399821.png
293033,Mustapha Jibrin,21,,Defender,https://media.api-sports.io/football/players/293033.png
308461,Daniel Wotlia,,,Defender,https://media.api-sports.io/football/players/308461.png
304197,Paul Samson,,,Midfielder,https://media.api-sports.io/football/players/304197.png
295422,Ejeh Isaiah,25,,Midfielder,https://media.api-sports.io/football/players/295422.png
295423,Afeez Nosiru,,,Midfielder,https://media.api-sports.io/football/players/295423.png
125172,Sunday Adeyemi Faleye,24,,Attacker,https://media.api-sports.io/football/players/125172.png
350124,Qudus Olamilekan Akanni,22,,Attacker,https://media.api-sports.io/football/players/350124.png
365860,Jerry Alex,,,Attacker,https://media.api-sports.io/football/players/365860.png
359411,Edidiong Ezekiel Enobong,21,,Attacker,https://media.api-sports.io/football/players/359411.png
304299,Evans Iyebi Ogbonda,20,,Attacker,https://media.api-sports.io/football/players/304299.png
1276,S. Kalu,25,,Attacker,https://media.api-sports.io/football/players/1276.png
365849,Chidiebere Nwobodo,19,,Attacker,https://media.api-sports.io/football/players/365849.png
