id,name,age,number,position,photo
2680,A. Abedzadeh,29,22,Goalkeeper,https://media.api-sports.io/football/players/2680.png
29755,H. Hosseini,30,12,Goalkeeper,https://media.api-sports.io/football/players/29755.png
2681,P. Niazmand,27,,Goalkeeper,https://media.api-sports.io/football/players/2681.png
2682,A. Beiranvand,30,1,Goalkeeper,https://media.api-sports.io/football/players/2682.png
2683,R. Cheshmi,29,,Defender,https://media.api-sports.io/football/players/2683.png
2686,M. Hosseini,26,19,Defender,https://media.api-sports.io/football/players/2686.png
29926,Seyed Abolfazl Jalali Boorani,24,16,Defender,https://media.api-sports.io/football/players/29926.png
2687,H. Kanani,28,,Defender,https://media.api-sports.io/football/players/2687.png
29704,S. Khalilzadeh,33,,Defender,https://media.api-sports.io/football/players/29704.png
2688,M. Mohammadi,29,,Defender,https://media.api-sports.io/football/players/2688.png
1311,S. Moharrami,26,2,Defender,https://media.api-sports.io/football/players/1311.png
2690,M. Pouraliganji,30,,Defender,https://media.api-sports.io/football/players/2690.png
2691,R. Rezaeian,32,,Defender,https://media.api-sports.io/football/players/2691.png
2692,V. Amiri,34,,Midfielder,https://media.api-sports.io/football/players/2692.png
19614,S. Ezatolahi,26,6,Midfielder,https://media.api-sports.io/football/players/19614.png
8564,A. Gholizadeh,26,17,Midfielder,https://media.api-sports.io/football/players/8564.png
2685,E. Hajisafi,32,3,Midfielder,https://media.api-sports.io/football/players/2685.png
2700,A. Jahanbakhsh,29,7,Midfielder,https://media.api-sports.io/football/players/2700.png
29770,A. Karimi,28,,Midfielder,https://media.api-sports.io/football/players/29770.png
2695,A. Noorollahi,29,8,Midfielder,https://media.api-sports.io/football/players/2695.png
2697,M. Torabi,28,,Midfielder,https://media.api-sports.io/football/players/2697.png
2698,K. Ansarifard,32,,Attacker,https://media.api-sports.io/football/players/2698.png
1221,S. Azmoun,27,20,Attacker,https://media.api-sports.io/football/players/1221.png
2699,S. Ghoddos,29,,Attacker,https://media.api-sports.io/football/players/2699.png
42315,M. Taremi,30,9,Attacker,https://media.api-sports.io/football/players/42315.png
