id,name,age,number,position,photo
41349,S. Gonda,33,,Goalkeeper,https://media.api-sports.io/football/players/41349.png
22242,E. Kawashima,39,,Goalkeeper,https://media.api-sports.io/football/players/22242.png
2589,D. Schmidt,30,,Goalkeeper,https://media.api-sports.io/football/players/2589.png
38114,K. Itakura,25,,Defender,https://media.api-sports.io/football/players/38114.png
32893,H. Ito,23,,Defender,https://media.api-sports.io/football/players/32893.png
440,Y. Nagatomo,36,,Defender,https://media.api-sports.io/football/players/440.png
1907,H. Sakai,32,,Defender,https://media.api-sports.io/football/players/1907.png
32954,S. Taniguchi,31,3,Defender,https://media.api-sports.io/football/players/32954.png
2597,T. Tomiyasu,24,,Defender,https://media.api-sports.io/football/players/2597.png
33144,M. Yamane,29,2,Defender,https://media.api-sports.io/football/players/33144.png
18944,M. Yoshida,34,,Defender,https://media.api-sports.io/football/players/18944.png
8500,W. Endo,29,,Midfielder,https://media.api-sports.io/football/players/8500.png
2601,D. Kamada,26,,Midfielder,https://media.api-sports.io/football/players/2601.png
32862,T. Kubo,21,,Midfielder,https://media.api-sports.io/football/players/32862.png
1101,T. Minamino,27,,Midfielder,https://media.api-sports.io/football/players/1101.png
106835,K. Mitoma,25,,Midfielder,https://media.api-sports.io/football/players/106835.png
32960,H. Morita,27,,Midfielder,https://media.api-sports.io/football/players/32960.png
2604,G. Shibasaki,30,,Midfielder,https://media.api-sports.io/football/players/2604.png
32966,A. Tanaka,24,,Midfielder,https://media.api-sports.io/football/players/32966.png
25375,T. Asano,28,,Attacker,https://media.api-sports.io/football/players/25375.png
2598,R. Dōan,24,,Attacker,https://media.api-sports.io/football/players/2598.png
1942,J. Ito,29,,Attacker,https://media.api-sports.io/football/players/1942.png
106851,S. Machino,23,11,Attacker,https://media.api-sports.io/football/players/106851.png
33224,D. Maeda,25,,Attacker,https://media.api-sports.io/football/players/33224.png
32902,Y. Soma,25,16,Attacker,https://media.api-sports.io/football/players/32902.png
72155,A. Ueda,24,,Attacker,https://media.api-sports.io/football/players/72155.png
