id,name,age,number,position,photo
35473,R. Cota,35,12,Goalkeeper,https://media.api-sports.io/football/players/35473.png
2098,G. Ochoa,37,13,Goalkeeper,https://media.api-sports.io/football/players/2098.png
35704,A. Talavera,40,,Goalkeeper,https://media.api-sports.io/football/players/35704.png
126751,Kevin Nahin Álvarez Campos,23,2,Defender,https://media.api-sports.io/football/players/126751.png
2870,N. Araújo,31,,Defender,https://media.api-sports.io/football/players/2870.png
35774,G. Arteaga,24,,Defender,https://media.api-sports.io/football/players/35774.png
2873,C. Montes,25,,Defender,https://media.api-sports.io/football/players/2873.png
2874,H. Moreno,34,,Defender,https://media.api-sports.io/football/players/2874.png
2878,J. Sánchez,25,,Defender,https://media.api-sports.io/football/players/2878.png
35544,J. Vásquez,24,,Defender,https://media.api-sports.io/football/players/35544.png
2869,E. Álvarez,25,,Midfielder,https://media.api-sports.io/football/players/2869.png
35690,L. Chávez,26,14,Midfielder,https://media.api-sports.io/football/players/35690.png
2881,J. Gallardo,28,23,Midfielder,https://media.api-sports.io/football/players/2881.png
1573,A. Guardado,36,,Midfielder,https://media.api-sports.io/football/players/1573.png
234,É. Gutiérrez,27,,Midfielder,https://media.api-sports.io/football/players/234.png
382,H. Herrera,32,,Midfielder,https://media.api-sports.io/football/players/382.png
35576,O. Pineda,26,10,Midfielder,https://media.api-sports.io/football/players/35576.png
2888,C. Rodríguez,25,,Midfielder,https://media.api-sports.io/football/players/2888.png
35970,L. Romo,27,7,Midfielder,https://media.api-sports.io/football/players/35970.png
2879,R. Alvarado,24,,Attacker,https://media.api-sports.io/football/players/2879.png
51069,U. Antuna,25,22,Attacker,https://media.api-sports.io/football/players/51069.png
35552,R. Funes Mori,31,,Attacker,https://media.api-sports.io/football/players/35552.png
2887,R. Jiménez,31,,Attacker,https://media.api-sports.io/football/players/2887.png
248,H. Lozano,27,,Attacker,https://media.api-sports.io/football/players/248.png
35603,H. Martín,30,21,Attacker,https://media.api-sports.io/football/players/35603.png
2889,A. Vega,25,,Attacker,https://media.api-sports.io/football/players/2889.png
