id,name,age,number,position,photo
2701,Y. Bounou,31,1,Goalkeeper,https://media.api-sports.io/football/players/2701.png
2702,M. Mohamedi,33,12,Goalkeeper,https://media.api-sports.io/football/players/2702.png
2703,A. Tagnaouti,26,,Goalkeeper,https://media.api-sports.io/football/players/2703.png
21694,N. Aguerd,26,5,Defender,https://media.api-sports.io/football/players/21694.png
135836,Y. Attiat-Allah,27,7,Defender,https://media.api-sports.io/football/players/135836.png
36556,B. Benoun,29,,Defender,https://media.api-sports.io/football/players/36556.png
36540,Achraf Dari,23,,Defender,https://media.api-sports.io/football/players/36540.png
31386,J. El Yamiq,30,18,Defender,https://media.api-sports.io/football/players/31386.png
9,A. Hakimi,24,2,Defender,https://media.api-sports.io/football/players/9.png
545,N. Mazraoui,25,,Defender,https://media.api-sports.io/football/players/545.png
2716,R. Saïss,32,6,Defender,https://media.api-sports.io/football/players/2716.png
8587,S. Amallah,26,15,Midfielder,https://media.api-sports.io/football/players/8587.png
74,S. Amrabat,26,4,Midfielder,https://media.api-sports.io/football/players/74.png
17632,I. Chair,25,13,Midfielder,https://media.api-sports.io/football/players/17632.png
340573,B. El Khannouss,18,,Midfielder,https://media.api-sports.io/football/players/340573.png
36544,Y. Jabrane,31,,Midfielder,https://media.api-sports.io/football/players/36544.png
129678,A. Ounahi,22,8,Midfielder,https://media.api-sports.io/football/players/129678.png
19053,A. Sabiri,26,,Midfielder,https://media.api-sports.io/football/players/19053.png
548,H. Ziyech,29,,Midfielder,https://media.api-sports.io/football/players/548.png
243,Z. Aboukhlal,22,14,Attacker,https://media.api-sports.io/football/players/243.png
2710,S. Boufal,29,,Attacker,https://media.api-sports.io/football/players/2710.png
128478,W. Cheddira,24,,Attacker,https://media.api-sports.io/football/players/128478.png
47422,Y. En-Nesyri,25,19,Attacker,https://media.api-sports.io/football/players/47422.png
181421,A. Ezzalzouli,21,,Attacker,https://media.api-sports.io/football/players/181421.png
44325,A. Hamdallah,32,,Attacker,https://media.api-sports.io/football/players/44325.png
129169,A. Zaroury,22,,Attacker,https://media.api-sports.io/football/players/129169.png
