id,name,age,number,position,photo
53515,S. Pesjakov,34,,Goalkeeper,https://media.api-sports.io/football/players/53515.png
2068,M. Safonov,23,,Goalkeeper,https://media.api-sports.io/football/players/2068.png
1767,A. Selikhov,28,,Goalkeeper,https://media.api-sports.io/football/players/1767.png
2618,A. Shunin,35,,Goalkeeper,https://media.api-sports.io/football/players/2618.png
53592,I. Agapov,21,,Defender,https://media.api-sports.io/football/players/53592.png
1772,Georgi Dzhikiya,29,,Defender,https://media.api-sports.io/football/players/1772.png
2620,Vyacheslav Karavaev,27,,Defender,https://media.api-sports.io/football/players/2620.png
136103,R. Litvinov,21,,Defender,https://media.api-sports.io/football/players/136103.png
43734,Maksim Osipenko,28,,Defender,https://media.api-sports.io/football/players/43734.png
162504,A. Siljanov,21,,Defender,https://media.api-sports.io/football/players/162504.png
43483,Aleksandr Soldatenkov,26,,Defender,https://media.api-sports.io/football/players/43483.png
476,D. Barinov,26,,Midfielder,https://media.api-sports.io/football/players/476.png
43429,D. Fomin,25,,Midfielder,https://media.api-sports.io/football/players/43429.png
53528,D. Glebov,23,,Midfielder,https://media.api-sports.io/football/players/53528.png
324420,A. Karpukas,20,,Midfielder,https://media.api-sports.io/football/players/324420.png
53504,D. Khlusevich,21,,Midfielder,https://media.api-sports.io/football/players/53504.png
202211,N. Krivtsov,20,,Midfielder,https://media.api-sports.io/football/players/202211.png
1212,D. Kuzyaev,29,,Midfielder,https://media.api-sports.io/football/players/1212.png
43742,A. Makarchuk,27,,Midfielder,https://media.api-sports.io/football/players/43742.png
485,A. Miranchuk,27,,Midfielder,https://media.api-sports.io/football/players/485.png
43855,A. Mostovoy,25,,Midfielder,https://media.api-sports.io/football/players/43855.png
166840,S. Pinyaev,18,,Midfielder,https://media.api-sports.io/football/players/166840.png
53552,L. Sadulaev,22,,Midfielder,https://media.api-sports.io/football/players/53552.png
2090,D. Utkin,23,,Midfielder,https://media.api-sports.io/football/players/2090.png
268960,A. Zakharyan,19,,Midfielder,https://media.api-sports.io/football/players/268960.png
53690,A. Zinkovskiy,26,,Midfielder,https://media.api-sports.io/football/players/53690.png
843,F. Chalov,24,,Attacker,https://media.api-sports.io/football/players/843.png
66261,N. Komlichenko,27,,Attacker,https://media.api-sports.io/football/players/66261.png
53772,A. Sobolev,25,,Attacker,https://media.api-sports.io/football/players/53772.png
284056,Vladimir Sychevoy,26,,Attacker,https://media.api-sports.io/football/players/284056.png
