id,name,age,number,position,photo
15573,K. Grabara,23,,Goalkeeper,https://media.api-sports.io/football/players/15573.png
2998,Ł. Skorupski,31,,Goalkeeper,https://media.api-sports.io/football/players/2998.png
851,W. Szczęsny,32,,Goalkeeper,https://media.api-sports.io/football/players/851.png
2999,J. Bednarek,26,,Defender,https://media.api-sports.io/football/players/2999.png
3000,B. Bereszyński,30,,Defender,https://media.api-sports.io/football/players/3000.png
19298,M. Cash,25,,Defender,https://media.api-sports.io/football/players/19298.png
97,K. Glik,34,,Defender,https://media.api-sports.io/football/players/97.png
3001,R. Gumny,24,,Defender,https://media.api-sports.io/football/players/3001.png
3002,A. Jędrzejczyk,35,,Defender,https://media.api-sports.io/football/players/3002.png
61431,J. Kiwior,22,,Defender,https://media.api-sports.io/football/players/61431.png
40392,M. Wieteska,25,,Defender,https://media.api-sports.io/football/players/40392.png
19826,K. Bielik,24,,Midfielder,https://media.api-sports.io/football/players/19826.png
3007,P. Frankowski,27,,Midfielder,https://media.api-sports.io/football/players/3007.png
3012,K. Grosicki,34,,Midfielder,https://media.api-sports.io/football/players/3012.png
40560,J. Kamiński,20,,Midfielder,https://media.api-sports.io/football/players/40560.png
481,G. Krychowiak,32,,Midfielder,https://media.api-sports.io/football/players/481.png
40809,M. Skóraś,22,,Midfielder,https://media.api-sports.io/football/players/40809.png
3011,D. Szymański,27,,Midfielder,https://media.api-sports.io/football/players/3011.png
40403,S. Szymański,23,,Midfielder,https://media.api-sports.io/football/players/40403.png
329,P. Zieliński,28,,Midfielder,https://media.api-sports.io/football/players/329.png
3014,S. Żurkowski,25,,Midfielder,https://media.api-sports.io/football/players/3014.png
521,R. Lewandowski,34,,Attacker,https://media.api-sports.io/football/players/521.png
333,A. Milik,28,,Attacker,https://media.api-sports.io/football/players/333.png
1651,K. Piątek,27,,Attacker,https://media.api-sports.io/football/players/1651.png
2385,K. Świderski,25,,Attacker,https://media.api-sports.io/football/players/2385.png
203474,N. Zalewski,20,,Attacker,https://media.api-sports.io/football/players/203474.png
