id,name,age,number,position,photo
2674,Rui Patrício,34,,Goalkeeper,https://media.api-sports.io/football/players/2674.png
1590,José Sá,29,,Goalkeeper,https://media.api-sports.io/football/players/1590.png
369,Diogo Costa,23,,Goalkeeper,https://media.api-sports.io/football/players/369.png
855,João Cancelo,28,,Defender,https://media.api-sports.io/football/players/855.png
886,Diogo Dalot,23,,Defender,https://media.api-sports.io/football/players/886.png
373,Pepe,39,,Defender,https://media.api-sports.io/football/players/373.png
567,Rúben Dias,25,,Defender,https://media.api-sports.io/football/players/567.png
8,Raphaël Guerreiro,29,,Defender,https://media.api-sports.io/football/players/8.png
331832,António Silva,19,,Defender,https://media.api-sports.io/football/players/331832.png
263482,Nuno Alexandre Tavares Mendes,20,,Defender,https://media.api-sports.io/football/players/263482.png
1485,Bruno Fernandes,28,,Midfielder,https://media.api-sports.io/football/players/1485.png
380,Otávio,27,,Midfielder,https://media.api-sports.io/football/players/380.png
2676,Rúben Neves,25,,Midfielder,https://media.api-sports.io/football/players/2676.png
41104,João Palhinha,27,,Midfielder,https://media.api-sports.io/football/players/41104.png
128384,Vitinha,22,,Midfielder,https://media.api-sports.io/football/players/128384.png
636,Bernardo Silva,28,,Midfielder,https://media.api-sports.io/football/players/636.png
206,João Mário,29,,Midfielder,https://media.api-sports.io/football/players/206.png
41621,Matheus Nunes,24,,Midfielder,https://media.api-sports.io/football/players/41621.png
381,Danilo Pereira,31,,Midfielder,https://media.api-sports.io/football/players/381.png
1580,William Carvalho,30,,Midfielder,https://media.api-sports.io/football/players/1580.png
22236,Rafael Leão,23,,Attacker,https://media.api-sports.io/football/players/22236.png
41103,Ricardo Horta,28,,Attacker,https://media.api-sports.io/football/players/41103.png
874,Cristiano Ronaldo,37,,Attacker,https://media.api-sports.io/football/players/874.png
583,João Félix,23,,Attacker,https://media.api-sports.io/football/players/583.png
41585,Gonçalo Ramos,21,,Attacker,https://media.api-sports.io/football/players/41585.png
2063,André Silva,27,,Attacker,https://media.api-sports.io/football/players/2063.png
