id,name,age,number,position,photo
13566,J. Chunga,31,,Goalkeeper,https://media.api-sports.io/football/players/13566.png
313,David Ospina Ramírez,34,,Goalkeeper,https://media.api-sports.io/football/players/313.png
13283,Carlos Eccehomo Cuesta Figueroa,23,,Defender,https://media.api-sports.io/football/players/13283.png
5963,Frank Yusty Fabra Palacios,31,,Defender,https://media.api-sports.io/football/players/5963.png
1929,Jhon Janer Lucumí Bonilla,24,,Defender,https://media.api-sports.io/football/players/1929.png
64268,Johan Andrés Mojica Palacio,30,,Defender,https://media.api-sports.io/football/players/64268.png
13736,Daniel Muñoz Mejía,26,,Defender,https://media.api-sports.io/football/players/13736.png
168,Davinson Sánchez Mina,26,,Defender,https://media.api-sports.io/football/players/168.png
13708,J. Arias,25,,Midfielder,https://media.api-sports.io/football/players/13708.png
51033,E. Atuesta,25,,Midfielder,https://media.api-sports.io/football/players/51033.png
1209,W. Barrios,29,,Midfielder,https://media.api-sports.io/football/players/1209.png
5994,J. Carrascal,24,,Midfielder,https://media.api-sports.io/football/players/5994.png
2490,J. Lerma,28,,Midfielder,https://media.api-sports.io/football/players/2490.png
115532,S. Moreno,22,,Midfielder,https://media.api-sports.io/football/players/115532.png
6005,J. Quintero,29,,Midfielder,https://media.api-sports.io/football/players/6005.png
517,James David Rodríguez Rubio,31,,Midfielder,https://media.api-sports.io/football/players/517.png
6011,R. Borré,27,,Attacker,https://media.api-sports.io/football/players/6011.png
13489,Jhon Jader Durán Palacio,19,,Attacker,https://media.api-sports.io/football/players/13489.png
119,R. Falcao,36,,Attacker,https://media.api-sports.io/football/players/119.png
197913,Juan David Mosquera López,20,,Attacker,https://media.api-sports.io/football/players/197913.png
6254,D. Valoyes,26,,Attacker,https://media.api-sports.io/football/players/6254.png
