id,name,age,number,position,photo
44411,Mohammed Al Owais,31,,Goalkeeper,https://media.api-sports.io/football/players/44411.png
44709,Mohammed Al Yami,25,,Goalkeeper,https://media.api-sports.io/football/players/44709.png
193288,Nawaf Al Aqidi,22,,Goalkeeper,https://media.api-sports.io/football/players/193288.png
44594,Saud Abdullah Salem Abdulhamid,23,,Defender,https://media.api-sports.io/football/players/44594.png
44475,Abdulelah Al Amri,25,,Defender,https://media.api-sports.io/football/players/44475.png
44332,Ali Al Bulayhi,33,,Defender,https://media.api-sports.io/football/players/44332.png
44329,Mohammed Al Burayk,30,,Defender,https://media.api-sports.io/football/players/44329.png
44309,Sultan Al Ghannam,28,,Defender,https://media.api-sports.io/football/players/44309.png
44331,Yasir Al Shahrani,30,,Defender,https://media.api-sports.io/football/players/44331.png
44362,Hassan Tambakti,23,,Defender,https://media.api-sports.io/football/players/44362.png
44303,Abdullah Madu,29,,Defender,https://media.api-sports.io/football/players/44303.png
44338,Nawaf Al Abid,32,,Midfielder,https://media.api-sports.io/football/players/44338.png
44340,Salem Al Dawsari,31,,Midfielder,https://media.api-sports.io/football/players/44340.png
44341,Salman Al Faraj,33,,Midfielder,https://media.api-sports.io/football/players/44341.png
44509,Ali Al Hassan,25,,Midfielder,https://media.api-sports.io/football/players/44509.png
44692,Sami Al Naji,25,,Midfielder,https://media.api-sports.io/football/players/44692.png
44339,Nasser Al Dawsari,24,,Midfielder,https://media.api-sports.io/football/players/44339.png
44483,Abdulelah Al Malki,28,,Midfielder,https://media.api-sports.io/football/players/44483.png
44347,Hattan Bahbri,30,,Midfielder,https://media.api-sports.io/football/players/44347.png
44349,Mohammed Kanno,28,,Midfielder,https://media.api-sports.io/football/players/44349.png
44350,Abdullah Otayf,30,,Midfielder,https://media.api-sports.io/football/players/44350.png
104652,Riyadh Sharahili,29,,Midfielder,https://media.api-sports.io/football/players/104652.png
44324,Feras Al Brikan,22,,Attacker,https://media.api-sports.io/football/players/44324.png
44586,Abdulrahman Al Obud,27,,Attacker,https://media.api-sports.io/football/players/44586.png
44551,Saleh Al Shehri,29,,Attacker,https://media.api-sports.io/football/players/44551.png
268087,Haitham Asiri,21,,Attacker,https://media.api-sports.io/football/players/268087.png
