id,name,age,number,position,photo
45021,S. Dieng,28,,Goalkeeper,https://media.api-sports.io/football/players/45021.png
2985,A. Gomis,29,,Goalkeeper,https://media.api-sports.io/football/players/2985.png
2986,É. Mendy,30,,Goalkeeper,https://media.api-sports.io/football/players/2986.png
105,F. Ballo,25,,Defender,https://media.api-sports.io/football/players/105.png
1592,P. Cissé,27,,Defender,https://media.api-sports.io/football/players/1592.png
7,A. Diallo,26,,Defender,https://media.api-sports.io/football/players/7.png
158121,I. Jakobs,23,,Defender,https://media.api-sports.io/football/players/158121.png
318,K. Koulibaly,31,,Defender,https://media.api-sports.io/football/players/318.png
162236,F. Mendy,21,,Defender,https://media.api-sports.io/football/players/162236.png
1264,Y. Sabaly,29,,Defender,https://media.api-sports.io/football/players/1264.png
18592,I. Ndiaye,22,,Midfielder,https://media.api-sports.io/football/players/18592.png
41552,P. Ciss,28,,Midfielder,https://media.api-sports.io/football/players/41552.png
2990,I. Gueye,33,,Midfielder,https://media.api-sports.io/football/players/2990.png
20696,P. Gueye,23,,Midfielder,https://media.api-sports.io/football/players/20696.png
2991,C. Kouyaté,33,,Midfielder,https://media.api-sports.io/football/players/2991.png
384,M. Loum,26,,Midfielder,https://media.api-sports.io/football/players/384.png
18785,N. Mendy,30,,Midfielder,https://media.api-sports.io/football/players/18785.png
23129,M. Name,27,,Midfielder,https://media.api-sports.io/football/players/23129.png
237129,P. Sarr,20,,Midfielder,https://media.api-sports.io/football/players/237129.png
22015,B. Dia,26,,Attacker,https://media.api-sports.io/football/players/22015.png
81,K. Diatta,23,,Attacker,https://media.api-sports.io/football/players/81.png
19278,F. Diédhiou,30,,Attacker,https://media.api-sports.io/football/players/19278.png
283058,N. Jackson,21,,Attacker,https://media.api-sports.io/football/players/283058.png
304,S. Mané,30,,Attacker,https://media.api-sports.io/football/players/304.png
284072,B. Dieng,22,,Attacker,https://media.api-sports.io/football/players/284072.png
2218,I. Sarr,24,,Attacker,https://media.api-sports.io/football/players/2218.png
