id,name,age,number,position,photo
18959,Robert Sánchez,25,,Goalkeeper,https://media.api-sports.io/football/players/18959.png
19465,David Raya,27,,Goalkeeper,https://media.api-sports.io/football/players/19465.png
47270,Unai Simón,25,,Goalkeeper,https://media.api-sports.io/football/players/47270.png
128,Jordi Alba,33,,Defender,https://media.api-sports.io/football/players/128.png
2280,César Azpilicueta,33,,Defender,https://media.api-sports.io/football/players/2280.png
161928,Balde,19,,Defender,https://media.api-sports.io/football/players/161928.png
733,Dani Carvajal,30,,Defender,https://media.api-sports.io/football/players/733.png
46815,Pau Torres,25,,Defender,https://media.api-sports.io/football/players/46815.png
619,Eric García,21,,Defender,https://media.api-sports.io/football/players/619.png
919,Hugo Guillamón,22,,Defender,https://media.api-sports.io/football/players/919.png
622,Aymeric Laporte,28,,Defender,https://media.api-sports.io/football/players/622.png
144,Sergio Busquets,34,,Midfielder,https://media.api-sports.io/football/players/144.png
133609,Pedri,20,,Midfielder,https://media.api-sports.io/football/players/133609.png
44,Rodri,26,,Midfielder,https://media.api-sports.io/football/players/44.png
753,Marcos Llorente,27,,Midfielder,https://media.api-sports.io/football/players/753.png
1323,Dani Olmo,24,,Midfielder,https://media.api-sports.io/football/players/1323.png
296667,Gavi,18,,Midfielder,https://media.api-sports.io/football/players/296667.png
184226,Yeremy Pino,20,,Midfielder,https://media.api-sports.io/football/players/184226.png
50,Koke,30,,Midfielder,https://media.api-sports.io/football/players/50.png
2056,Pablo Sarabia,30,,Midfielder,https://media.api-sports.io/football/players/2056.png
930,Carlos Soler,25,,Midfielder,https://media.api-sports.io/football/players/930.png
746,Marco Asensio,26,,Attacker,https://media.api-sports.io/football/players/746.png
135775,Ansu Fati,20,,Attacker,https://media.api-sports.io/football/players/135775.png
59,Álvaro Morata,30,,Attacker,https://media.api-sports.io/football/players/59.png
931,Ferran Torres,22,,Attacker,https://media.api-sports.io/football/players/931.png
183799,Nico Williams,20,,Attacker,https://media.api-sports.io/football/players/183799.png
