id,name,age,number,position,photo
25282,G. Kobel,25,,Goalkeeper,https://media.api-sports.io/football/players/25282.png
7313,P. Köhn,24,,Goalkeeper,https://media.api-sports.io/football/players/7313.png
2801,J. Omlin,28,,Goalkeeper,https://media.api-sports.io/football/players/2801.png
2802,Y. Sommer,34,,Goalkeeper,https://media.api-sports.io/football/players/2802.png
5,M. Akanji,27,,Defender,https://media.api-sports.io/football/players/5.png
48372,E. Cömert,24,,Defender,https://media.api-sports.io/football/players/48372.png
2803,N. Elvedi,26,,Defender,https://media.api-sports.io/football/players/2803.png
1631,R. Rodríguez,30,,Defender,https://media.api-sports.io/football/players/1631.png
2806,F. Schär,31,,Defender,https://media.api-sports.io/football/players/2806.png
48378,S. Widmer,29,,Defender,https://media.api-sports.io/football/players/48378.png
951,M. Aebischer,25,,Midfielder,https://media.api-sports.io/football/players/951.png
952,C. Fassnacht,29,,Midfielder,https://media.api-sports.io/football/players/952.png
30405,E. Fernandes,26,,Midfielder,https://media.api-sports.io/football/players/30405.png
48382,F. Frei,33,,Midfielder,https://media.api-sports.io/football/players/48382.png
2807,R. Freuler,30,,Midfielder,https://media.api-sports.io/football/players/2807.png
264705,A. Jashari,20,,Midfielder,https://media.api-sports.io/football/players/264705.png
163032,F. Rieder,20,,Midfielder,https://media.api-sports.io/football/players/163032.png
307,X. Shaqiri,31,,Midfielder,https://media.api-sports.io/football/players/307.png
957,D. Sow,25,,Midfielder,https://media.api-sports.io/football/players/957.png
2809,R. Steffen,31,,Midfielder,https://media.api-sports.io/football/players/2809.png
48471,R. Vargas,24,,Midfielder,https://media.api-sports.io/football/players/48471.png
1464,G. Xhaka,30,,Midfielder,https://media.api-sports.io/football/players/1464.png
2810,D. Zakaria,26,,Midfielder,https://media.api-sports.io/football/players/2810.png
421,B. Embolo,25,,Attacker,https://media.api-sports.io/football/players/421.png
48389,N. Okafor,22,,Attacker,https://media.api-sports.io/football/players/48389.png
582,H. Seferović,30,,Attacker,https://media.api-sports.io/football/players/582.png
