id,name,age,number,position,photo
49610,B. Ben Saïd,30,22,Goalkeeper,https://media.api-sports.io/football/players/49610.png
49424,A. Dahmen,25,16,Goalkeeper,https://media.api-sports.io/football/players/49424.png
2941,M. Hassen,27,,Goalkeeper,https://media.api-sports.io/football/players/2941.png
2942,A. Balbouli,38,,Goalkeeper,https://media.api-sports.io/football/players/2942.png
2945,D. Bronn,27,,Defender,https://media.api-sports.io/football/players/2945.png
2952,M. Dräger,26,20,Defender,https://media.api-sports.io/football/players/2952.png
49583,A. Abdi,29,4,Defender,https://media.api-sports.io/football/players/49583.png
49587,B. Ifa,32,2,Defender,https://media.api-sports.io/football/players/49587.png
2954,W. Kechrida,27,,Defender,https://media.api-sports.io/football/players/2954.png
2947,A. Maâloul,32,12,Defender,https://media.api-sports.io/football/players/2947.png
1597,Y. Meriah,29,,Defender,https://media.api-sports.io/football/players/1597.png
50030,M. Talbi,24,3,Defender,https://media.api-sports.io/football/players/50030.png
49404,M. Ben Romdhane,23,15,Midfielder,https://media.api-sports.io/football/players/49404.png
199310,A. Ben Slimane,21,8,Midfielder,https://media.api-sports.io/football/players/199310.png
49407,G. Chaalali,28,,Midfielder,https://media.api-sports.io/football/players/49407.png
8990,N. Ghandri,27,6,Midfielder,https://media.api-sports.io/football/players/8990.png
43246,A. Laïdouni,26,14,Midfielder,https://media.api-sports.io/football/players/43246.png
180560,H. Mejbri,19,10,Midfielder,https://media.api-sports.io/football/players/180560.png
2957,F. Sassi,30,13,Midfielder,https://media.api-sports.io/football/players/2957.png
21587,E. Skhiri,27,,Midfielder,https://media.api-sports.io/football/players/21587.png
2958,N. Sliti,30,23,Midfielder,https://media.api-sports.io/football/players/2958.png
16933,S. Jaziri,29,19,Attacker,https://media.api-sports.io/football/players/16933.png
44497,I. Jebali,31,17,Attacker,https://media.api-sports.io/football/players/44497.png
22102,W. Khazri,31,,Attacker,https://media.api-sports.io/football/players/22102.png
2963,T. Khenissi,30,11,Attacker,https://media.api-sports.io/football/players/2963.png
2964,Y. Msakni,32,7,Attacker,https://media.api-sports.io/football/players/2964.png
