id,name,age,number,position,photo
39034,A. Linde,29,,Goalkeeper,https://media.api-sports.io/football/players/39034.png
2851,K. Nordfeldt,33,,Goalkeeper,https://media.api-sports.io/football/players/2851.png
766,R. Olsen,32,,Goalkeeper,https://media.api-sports.io/football/players/766.png
105141,L. Wahlstedt,23,,Goalkeeper,https://media.api-sports.io/football/players/105141.png
15788,Eric Joel Andersson,26,,Defender,https://media.api-sports.io/football/players/15788.png
2852,Hans Carl Ludwig Augustinsson,28,,Defender,https://media.api-sports.io/football/players/2852.png
47969,Gabriel Johan Gudmundsson,23,,Defender,https://media.api-sports.io/football/players/47969.png
137976,Isak Malcolm Kwaku Hien,23,,Defender,https://media.api-sports.io/football/players/137976.png
47960,E. Kurtulus,22,,Defender,https://media.api-sports.io/football/players/47960.png
889,Victor Jörgen Nilsson Lindelöf,28,,Defender,https://media.api-sports.io/football/players/889.png
48014,Aiham Hanz Ousou,22,,Defender,https://media.api-sports.io/football/players/48014.png
48144,Daniel Andreas Sundgren,32,,Defender,https://media.api-sports.io/football/players/48144.png
15797,J. Cajuste,23,,Midfielder,https://media.api-sports.io/football/players/15797.png
2080,Viktor Johan Anton Claesson,30,,Midfielder,https://media.api-sports.io/football/players/2080.png
1152,E. Forsberg,31,,Midfielder,https://media.api-sports.io/football/players/1152.png
48047,J. Karlström,27,,Midfielder,https://media.api-sports.io/football/players/48047.png
30435,D. Kulusevski,22,,Midfielder,https://media.api-sports.io/football/players/30435.png
2086,Mats Kristoffer Olsson,27,,Midfielder,https://media.api-sports.io/football/players/2086.png
30484,M. Svanberg,23,,Midfielder,https://media.api-sports.io/football/players/30484.png
18979,V. Gyökeres,24,,Attacker,https://media.api-sports.io/football/players/18979.png
25619,M. Ishak,29,,Attacker,https://media.api-sports.io/football/players/25619.png
153430,Anthony David Junior Elanga,20,,Attacker,https://media.api-sports.io/football/players/153430.png
2866,Robin Kwamina Quaison,29,,Attacker,https://media.api-sports.io/football/players/2866.png
161176,Jens Patrik Wålemark,21,,Attacker,https://media.api-sports.io/football/players/161176.png
