id,name,age,number,position,photo
429,F. Muslera,36,,Goalkeeper,https://media.api-sports.io/football/players/429.png
50077,S. Rochet,29,,Goalkeeper,https://media.api-sports.io/football/players/50077.png
35931,S. Sosa,36,,Goalkeeper,https://media.api-sports.io/football/players/35931.png
101814,R. Araujo,23,,Defender,https://media.api-sports.io/football/players/101814.png
854,M. Cáceres,35,,Defender,https://media.api-sports.io/football/players/854.png
1477,S. Coates,32,,Defender,https://media.api-sports.io/football/players/1477.png
31,J. Giménez,27,,Defender,https://media.api-sports.io/football/players/31.png
32,D. Godín,36,,Defender,https://media.api-sports.io/football/players/32.png
47254,M. Olivera,25,,Defender,https://media.api-sports.io/football/players/47254.png
51426,J. Rodríguez,25,,Defender,https://media.api-sports.io/football/players/51426.png
1290,G. Varela,29,,Defender,https://media.api-sports.io/football/players/1290.png
51572,M. Viña,25,,Defender,https://media.api-sports.io/football/players/51572.png
863,R. Bentancur,25,,Midfielder,https://media.api-sports.io/football/players/863.png
2612,G. de Arrascaeta,28,10,Midfielder,https://media.api-sports.io/football/players/2612.png
5995,N. de la Cruz,25,,Midfielder,https://media.api-sports.io/football/players/5995.png
70078,F. Pellistri,21,,Midfielder,https://media.api-sports.io/football/players/70078.png
1462,L. Torreira,26,,Midfielder,https://media.api-sports.io/football/players/1462.png
51620,F. Torres,22,,Midfielder,https://media.api-sports.io/football/players/51620.png
51494,M. Ugarte,21,,Midfielder,https://media.api-sports.io/football/players/51494.png
756,F. Valverde,24,,Midfielder,https://media.api-sports.io/football/players/756.png
211,M. Vecino,31,,Midfielder,https://media.api-sports.io/football/players/211.png
51603,A. Canobbio,24,,Attacker,https://media.api-sports.io/football/players/51603.png
274,E. Cavani,35,,Attacker,https://media.api-sports.io/football/players/274.png
2615,M. Gómez,26,,Attacker,https://media.api-sports.io/football/players/2615.png
51617,D. Núñez,23,,Attacker,https://media.api-sports.io/football/players/51617.png
157,L. Suárez,35,,Attacker,https://media.api-sports.io/football/players/157.png
